parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sdE[35],0.258,0.044,0.185,0.346,0.001,0.0,5588.0,3189.0,1.0
sdE[36],0.18,0.038,0.113,0.249,0.001,0.0,5478.0,3154.0,1.0
sdE[37],0.073,0.021,0.039,0.108,0.0,0.0,4052.0,2635.0,1.0
sdE[38],0.267,0.046,0.181,0.354,0.001,0.001,5030.0,2827.0,1.0
sdE[39],0.093,0.025,0.054,0.137,0.0,0.0,3683.0,2719.0,1.0
sdE[40],0.264,0.045,0.18,0.343,0.001,0.0,5431.0,3094.0,1.0
sdE[41],0.202,0.041,0.132,0.279,0.001,0.0,4751.0,2735.0,1.0
sdE[42],0.266,0.046,0.186,0.355,0.001,0.0,5744.0,3337.0,1.0
sdE[43],0.18,0.041,0.114,0.26,0.001,0.001,4212.0,2615.0,1.0
sdE[44],0.137,0.034,0.081,0.197,0.001,0.0,3791.0,2825.0,1.0
sdE[45],0.122,0.03,0.076,0.18,0.001,0.0,3531.0,2509.0,1.0
sdE[46],0.222,0.045,0.148,0.312,0.001,0.0,5323.0,3411.0,1.0
sdE[47],0.141,0.035,0.084,0.207,0.001,0.0,4667.0,3011.0,1.0
sdE[48],0.203,0.041,0.131,0.278,0.001,0.0,4694.0,2756.0,1.0
sdE[49],0.139,0.034,0.084,0.204,0.001,0.0,4459.0,2636.0,1.0
sdE[50],0.162,0.037,0.098,0.23,0.001,0.0,3890.0,3148.0,1.0
sdE[51],0.245,0.048,0.162,0.337,0.001,0.001,4859.0,2913.0,1.0
sdE[52],0.184,0.04,0.118,0.259,0.001,0.0,4503.0,2766.0,1.0
sdE[53],0.111,0.028,0.07,0.165,0.0,0.0,3978.0,2758.0,1.0
sdE[54],0.142,0.034,0.088,0.207,0.001,0.0,4548.0,3012.0,1.0
sdE[55],0.251,0.044,0.174,0.337,0.001,0.0,5146.0,2749.0,1.0
sdE[56],0.206,0.041,0.137,0.282,0.001,0.0,4989.0,2931.0,1.0
sdE[57],0.162,0.037,0.1,0.232,0.001,0.0,3838.0,2334.0,1.0
sdE[58],0.099,0.025,0.06,0.146,0.0,0.0,4147.0,2507.0,1.0
sdE[59],0.249,0.046,0.17,0.336,0.001,0.001,5106.0,2740.0,1.0
sdE[60],0.123,0.031,0.075,0.182,0.001,0.0,3976.0,2779.0,1.0
sdE[61],0.211,0.04,0.14,0.285,0.001,0.0,4557.0,2885.0,1.0
sdE[62],0.035,0.01,0.02,0.054,0.0,0.0,3470.0,2535.0,1.0
sdE[63],0.225,0.042,0.153,0.309,0.001,0.0,5667.0,3082.0,1.0
sdE[64],0.267,0.046,0.185,0.354,0.001,0.0,6146.0,3178.0,1.0
sdE[65],0.185,0.04,0.117,0.26,0.001,0.0,4341.0,2850.0,1.0
sdE[66],0.048,0.013,0.028,0.072,0.0,0.0,2713.0,2379.0,1.0
sdE[67],0.221,0.043,0.149,0.303,0.001,0.0,5659.0,2853.0,1.0
sdE[68],0.115,0.029,0.069,0.171,0.001,0.0,4292.0,2268.0,1.0
sdE[69],0.121,0.032,0.07,0.18,0.001,0.0,4490.0,3000.0,1.0
sdE[70],0.161,0.037,0.101,0.231,0.001,0.0,4340.0,3201.0,1.0
sdE[71],0.155,0.037,0.095,0.223,0.001,0.0,3988.0,3005.0,1.0
sdE[72],0.195,0.041,0.122,0.268,0.001,0.0,4393.0,2902.0,1.0
sdE[73],0.311,0.048,0.225,0.399,0.001,0.0,5987.0,2787.0,1.0
sdE[74],0.396,0.051,0.309,0.502,0.001,0.001,5460.0,2644.0,1.0
sdE[75],0.074,0.021,0.044,0.111,0.0,0.0,3306.0,2681.0,1.0
sdE[76],0.151,0.036,0.09,0.216,0.001,0.0,4496.0,2719.0,1.0
sdE[77],0.187,0.042,0.114,0.264,0.001,0.001,4269.0,2825.0,1.0
sdE[78],0.239,0.044,0.167,0.325,0.001,0.0,5521.0,2658.0,1.0
sdE[79],0.241,0.043,0.168,0.326,0.001,0.0,4549.0,2884.0,1.0
sdE[80],0.253,0.047,0.174,0.341,0.001,0.0,4978.0,2937.0,1.0
sdE[81],0.235,0.043,0.159,0.314,0.001,0.0,4720.0,3196.0,1.0
sdE[82],0.255,0.047,0.169,0.337,0.001,0.001,5317.0,2920.0,1.0
sdE[83],0.352,0.048,0.264,0.438,0.001,0.0,7565.0,2959.0,1.0
sdE[84],0.049,0.014,0.028,0.072,0.0,0.0,3422.0,2529.0,1.0
sdE[85],0.289,0.047,0.205,0.377,0.001,0.0,5555.0,2761.0,1.0
sdE[86],0.141,0.035,0.084,0.204,0.001,0.0,3548.0,2679.0,1.0
sdE[87],0.247,0.044,0.165,0.328,0.001,0.001,4350.0,2660.0,1.0
sdE[88],0.145,0.034,0.091,0.21,0.001,0.0,3676.0,2629.0,1.0
sdE[89],0.09,0.023,0.052,0.13,0.0,0.0,3981.0,3062.0,1.0
sdE[90],0.236,0.045,0.159,0.32,0.001,0.001,4004.0,2600.0,1.0
sdE[91],0.007,0.002,0.004,0.01,0.0,0.0,4318.0,2653.0,1.0
sdE[92],0.289,0.048,0.203,0.379,0.001,0.0,5494.0,3026.0,1.0
sdE[93],0.325,0.054,0.231,0.43,0.001,0.001,3736.0,2905.0,1.0
